invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,is_guest,revenue,year,month
527292,21061,PARTY INVITES FOOTBALL,3,2010-10-15 14:09:00,1.66,,United Kingdom,True,4.98,2010,10
547034,22191,IVORY DINER WALL CLOCK,2,2011-03-20 10:30:00,8.5,18229.0,United Kingdom,False,17.0,2011,3
526267,21098,CHRISTMAS TOILET ROLL,60,2010-10-11 10:56:00,1.25,12678.0,France,False,75.0,2010,10
528645,21868,POTTING SHED TEA MUG,6,2010-10-24 12:14:00,1.25,15994.0,United Kingdom,False,7.5,2010,10
541423,22834,HAND WARMER BABUSHKA DESIGN,3,2011-01-17 17:54:00,1.63,,United Kingdom,True,4.89,2011,1
512004,22208,WOOD STAMP SET THANK YOU,12,2010-06-11 15:58:00,1.65,14911.0,EIRE,False,19.8,2010,6
495805,85099B,JUMBO BAG RED WHITE SPOTTY ,2,2010-01-26 17:51:00,4.21,,United Kingdom,True,8.42,2010,1
541592,22473,TV DINNER TRAY VINTAGE PAISLEY,5,2011-01-19 15:08:00,4.13,,United Kingdom,True,20.65,2011,1
521148,22757,LARGE RED BABUSHKA NOTEBOOK ,1,2010-09-02 13:27:00,1.25,16065.0,United Kingdom,False,1.25,2010,9
530332,20713,JUMBO BAG OWLS,3,2010-11-02 13:57:00,4.21,,United Kingdom,True,12.63,2010,11
542719,21985,PACK OF 12 HEARTS DESIGN TISSUES ,4,2011-01-31 14:18:00,0.29,17619.0,United Kingdom,False,1.16,2011,1
518791,22297,HEART IVORY TRELLIS SMALL,24,2010-08-12 09:43:00,1.25,16477.0,United Kingdom,False,30.0,2010,8
512532,22451,SILK PURSE RUSSIAN DOLL RED,6,2010-06-16 12:01:00,3.35,16253.0,United Kingdom,False,20.1,2010,6
509533,22109,FULL ENGLISH BREAKFAST PLATE,1,2010-05-24 12:01:00,7.62,,United Kingdom,True,7.62,2010,5
545568,22073,RED RETROSPOT STORAGE JAR,1,2011-03-03 16:22:00,7.46,,United Kingdom,True,7.46,2011,3
564537,22423,REGENCY CAKESTAND 3 TIER,2,2011-08-25 15:18:00,12.75,15550.0,United Kingdom,False,25.5,2011,8
519564,22083,PAPER CHAIN KIT RETRO SPOT,24,2010-08-18 11:38:00,2.95,15310.0,United Kingdom,False,70.8,2010,8
534755,82599,FANNY'S REST STOPMETAL SIGN,1,2010-11-24 10:03:00,4.21,,United Kingdom,True,4.21,2010,11
492244,21684,SMALL MEDINA STAMPED METAL BOWL ,12,2009-12-16 09:37:00,0.85,17646.0,United Kingdom,False,10.2,2009,12
543555,21930,JUMBO STORAGE BAG SKULLS,10,2011-02-10 10:18:00,1.95,17686.0,United Kingdom,False,19.5,2011,2
525082,16259,PIECE OF CAMO STATIONERY SET,108,2010-10-03 15:48:00,0.21,14455.0,United Kingdom,False,22.68,2010,10
558390,85099B,JUMBO BAG RED RETROSPOT,30,2011-06-29 10:23:00,2.08,13461.0,United Kingdom,False,62.4,2011,6
544041,21216,"SET 3 RETROSPOT TEA,COFFEE,SUGAR",24,2011-02-15 11:50:00,4.25,17730.0,United Kingdom,False,102.0,2011,2
497583,21621,VINTAGE UNION JACK BUNTING,2,2010-02-10 14:51:00,8.5,12951.0,United Kingdom,False,17.0,2010,2
555340,22349,DOG BOWL CHASING BALL DESIGN,2,2011-06-02 11:33:00,3.75,13334.0,United Kingdom,False,7.5,2011,6
502030,21945,STRAWBERRIES  DESIGN FLANNEL ,1,2010-03-22 13:11:00,1.66,,United Kingdom,True,1.66,2010,3
543989,22617,BAKING SET SPACEBOY DESIGN,72,2011-02-15 09:52:00,4.25,12415.0,Australia,False,306.0,2011,2
552232,21713,CITRONELLA CANDLE FLOWERPOT,1,2011-05-06 15:54:00,4.13,,United Kingdom,True,4.13,2011,5
566949,21313,GLASS HEART T-LIGHT HOLDER ,2,2011-09-15 16:32:00,1.63,,United Kingdom,True,3.26,2011,9
575340,22718,CARD CAT AND TREE ,12,2011-11-09 14:31:00,0.42,15485.0,United Kingdom,False,5.04,2011,11
580136,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,2011-12-01 19:42:00,2.95,17841.0,United Kingdom,False,2.95,2011,12
518820,21249,WOODLAND  HEIGHT CHART STICKERS ,1,2010-08-12 10:38:00,5.91,,United Kingdom,True,5.91,2010,8
564380,16218,CARTOON  PENCIL SHARPENERS,80,2011-08-25 10:39:00,0.06,14314.0,United Kingdom,False,4.8,2011,8
523994,21802,CHRISTMAS TREE HEART DECORATION,1,2010-09-26 15:07:00,0.42,16549.0,United Kingdom,False,0.42,2010,9
524098,20727,LUNCH BAG  BLACK SKULL.,10,2010-09-27 12:21:00,1.65,17204.0,United Kingdom,False,16.5,2010,9
539470,84806A,PINK CANDYSTUFT ARTIFICIAL FLOWER,1,2010-12-19 14:03:00,1.45,14472.0,United Kingdom,False,1.45,2010,12
541421,22885,NUMBER TILE VINTAGE FONT 6 ,1,2011-01-17 17:44:00,4.13,,United Kingdom,True,4.13,2011,1
529835,20982,12 PENCILS TALL TUBE SKULLS,48,2010-10-31 12:34:00,0.85,16008.0,United Kingdom,False,40.8,2010,10
494381,21675,BUTTERFLIES STICKERS,2,2010-01-13 17:44:00,0.81,,United Kingdom,True,1.62,2010,1
552229,20675,BLUE POLKADOT BOWL,2,2011-05-06 15:40:00,2.46,,United Kingdom,True,4.92,2011,5
548858,71459,HANGING JAM JAR T-LIGHT HOLDER,12,2011-04-04 13:29:00,0.85,14911.0,EIRE,False,10.2,2011,4
498416,21621,VINTAGE UNION JACK BUNTING,2,2010-02-18 16:16:00,8.5,14783.0,United Kingdom,False,17.0,2010,2
551351,21390,FILIGRIS HEART WITH BUTTERFLY,24,2011-04-28 10:20:00,1.06,14298.0,United Kingdom,False,25.44,2011,4
577030,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,72,2011-11-17 12:59:00,2.49,14060.0,United Kingdom,False,179.28,2011,11
503703,84341B,SMALL PINK MAGIC CHRISTMAS TREE,72,2010-04-06 13:42:00,0.38,17841.0,United Kingdom,False,27.36,2010,4
532026,22796,PHOTO FRAME 3 CLASSIC HANGING,2,2010-11-10 13:19:00,9.95,12422.0,Switzerland,False,19.9,2010,11
578792,23490,T-LIGHT HOLDER HANGING LOVE BIRD,36,2011-11-25 12:20:00,3.29,14911.0,EIRE,False,118.44,2011,11
581011,22478,BIRDHOUSE GARDEN MARKER ,20,2011-12-07 09:22:00,1.25,14397.0,United Kingdom,False,25.0,2011,12
569538,23328,SET 6 SCHOOL MILK BOTTLES IN CRATE,4,2011-10-04 15:55:00,3.75,14462.0,United Kingdom,False,15.0,2011,10
547897,22708,WRAP DOLLY GIRL,25,2011-03-28 11:36:00,0.42,12792.0,Portugal,False,10.5,2011,3
