invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country
C558106,21669,BLUE STRIPE CERAMIC DRAWER KNOB,1,2011-06-26 14:59:00,1.25,13668.0,United Kingdom
C568879,22771,CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,14,2011-09-29 12:38:00,1.25,14680.0,United Kingdom
C498604,37495,FAIRY CAKE BIRTHDAY CANDLE SET,8,2010-02-21 16:16:00,2.95,13081.0,United Kingdom
C537164,D,Discount,1,2010-12-05 13:21:00,29.29,14527.0,United Kingdom
C547234,21537,RED RETROSPOT PUDDING BOWL,1,2011-03-21 16:21:00,4.25,12428.0,Finland
C569456,22768,FAMILY PHOTO FRAME CORNICE,2,2011-10-04 11:22:00,9.95,17675.0,United Kingdom
C548748,21172,PARTY METAL SIGN ,12,2011-04-04 12:28:00,1.45,15223.0,United Kingdom
C556787,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,8,2011-06-14 13:26:00,2.95,16745.0,United Kingdom
C512529,22097,SWALLOW SQUARE TISSUE BOX,5,2010-06-16 11:55:00,1.25,15207.0,United Kingdom
C490807,85217,ASSORTED ICE CREAM FRIDGE MAGNETS,24,2009-12-08 12:25:00,0.65,13091.0,United Kingdom
C490996,21901,"KEY FOB , BACK DOOR ",24,2009-12-08 17:23:00,0.65,15935.0,United Kingdom
C526110,37448,CERAMIC CAKE DESIGN SPOTTED MUG,3,2010-10-08 13:03:00,1.49,13113.0,United Kingdom
C514832,22184,CAKE STAND VICTORIAN FILIGREE LARGE,1,2010-07-06 14:00:00,8.5,17867.0,United Kingdom
C558899,22927,GREEN GIANT GARDEN THERMOMETER,1,2011-07-04 16:00:00,5.95,14338.0,United Kingdom
C554266,22433,WATERING CAN GREEN DINOSAUR,1,2011-05-23 12:48:00,1.95,12474.0,Germany
C509272,21843,RED RETROSPOT CAKE STAND,1,2010-05-21 11:21:00,10.95,12675.0,Italy
C539644,22423,REGENCY CAKESTAND 3 TIER,21,2010-12-20 15:52:00,10.95,12471.0,Germany
C515787,21205,MULTICOLOUR 3D BALLS GARLAND,1,2010-07-14 15:46:00,2.55,14621.0,United Kingdom
C490942,11001,ASSTD DESIGN RACING CAR PEN,16,2009-12-08 14:04:00,1.69,14337.0,United Kingdom
C557519,22784,LANTERN CREAM GAZEBO ,1,2011-06-20 17:15:00,4.95,16739.0,United Kingdom
C518345,22360,GLASS JAR ENGLISH CONFECTIONERY,2,2010-08-06 14:04:00,2.95,18257.0,United Kingdom
C521919,22752,SET 7 BABUSHKA NESTING BOXES,4,2010-09-09 14:16:00,8.5,12621.0,Germany
C540535,84508A,CAMOUFLAGE DESIGN TEDDY,1,2011-01-09 14:17:00,2.55,15005.0,United Kingdom
C509287,22305,COFFEE MUG PINK PAISLEY DESIGN,1,2010-05-21 11:50:00,2.55,17436.0,United Kingdom
C514562,85063,CREAM SWEETHEART MAGAZINE RACK,1,2010-07-05 11:47:00,16.95,16961.0,United Kingdom
C570490,22367,CHILDRENS APRON SPACEBOY DESIGN,2,2011-10-10 17:16:00,1.95,14356.0,United Kingdom
C527660,22423,REGENCY CAKESTAND 3 TIER,6,2010-10-18 14:23:00,12.75,15502.0,United Kingdom
C568572,23275,SET OF 3 HANGING OWLS OLLIE BEAK,1,2011-09-28 09:06:00,1.25,15194.0,United Kingdom
C521231,90180A,BLACK+WHITE NECKLACE W TASSEL,1,2010-09-03 11:11:00,9.95,,United Kingdom
C573549,AMAZONFEE,AMAZON FEE,1,2011-10-31 13:23:00,5942.57,,United Kingdom
C506477,22138,BAKING SET 9 PIECE RETROSPOT ,6,2010-04-30 10:25:00,4.95,16652.0,United Kingdom
C537832,22073,RED RETROSPOT STORAGE JAR,2,2010-12-08 14:52:00,3.75,16858.0,United Kingdom
C564427,22893,MINI CAKE STAND T-LIGHT HOLDER,1,2011-08-25 11:18:00,0.42,17841.0,United Kingdom
C572445,M,Manual,1,2011-10-24 12:20:00,186.21,,United Kingdom
C518254,21527,RED RETROSPOT TRADITIONAL TEAPOT ,1,2010-08-05 18:09:00,7.95,12525.0,France
C540030,22070,SMALL RED RETROSPOT MUG IN BOX ,24,2011-01-04 13:47:00,3.75,16029.0,United Kingdom
